281.558     10.907
281.604     10.996
281.65     11.085
281.696     11.173
281.742     11.262
281.879     11.306
281.925     11.394
282.063     11.438
282.196     11.482
282.242     11.57
282.288     11.659
282.425     11.702
282.471     11.791
282.521     11.88
282.567     11.969
282.613     12.058
282.658     12.147
282.796     12.19
282.933     12.233
283.071     12.277
283.163     12.231
283.25     12.186
283.342     12.141
283.387     12.006
283.479     11.961
283.525     11.826
283.475     11.737
283.521     11.603
283.567     11.469
283.521     11.38
283.471     11.291
283.337     11.248
283.288     11.159
283.154     11.116
283.017     11.073
282.879     11.03
282.742     10.986
282.604     10.943
282.467     10.9
282.329     10.856
282.283     10.768
282.238     10.679
282.192     10.59
282.054     10.547
282.008     10.458
281.963     10.369
281.829     10.326
281.692     10.282
281.6     10.328
281.508     10.373
281.467     10.507
281.421     10.641
281.467     10.729
281.512     10.818
281.558     10.907
